xlat,xlong,wsp_avg_150.0,xland_avg,wsp_max_150.0,xland_max,wsp_min_150.0,xland_min,wsp_stddev_150.0,xland_stddev
54.742363,1.244446,10.2043548556,2.0,31.075582,2,0.176369,2,4.929418675703749,0.0
54.898869,-1.863831,8.8388259456,1.0,29.369962,1,0.150342,1,4.555014885696884,0.0
54.970661,-2.577057,9.1394336340,1.0,32.970468,1,0.118019,1,4.987852320792875,0.0
56.320358,-2.555786,9.2131364656,2.0,36.612158,2,0.179740,2,4.453720758769635,0.0
56.914551,-2.509674,9.2577387749,1.0,34.506742,1,0.164327,1,4.466864094346355,0.0
54.665359,-1.722260,8.2193601028,1.0,30.636721,1,0.092579,1,4.283803514668994,0.0
56.817425,-3.235138,9.8768612096,1.0,32.355038,1,0.153336,1,5.123683495510311,0.0
54.134731,5.124390,10.3824203182,2.0,31.865906,2,0.091598,2,4.845980050900169,0.0
54.581219,1.296448,10.1907357760,2.0,32.214306,2,0.060799,2,4.933610411416912,0.0
55.710903,-4.092224,8.8988114210,1.0,36.962625,1,0.188708,1,4.4135632104941,0.0
56.354126,-3.735962,7.2441610336,1.0,31.560776,1,0.103918,1,4.331631063379555,0.0
54.600357,5.445343,10.4796466477,2.0,30.845520,2,0.082105,2,4.8634617491606305,0.0
55.323170,-3.071991,9.4194679539,1.0,32.631946,1,0.036882,1,4.452897571935661,0.0
56.675949,4.507874,10.6351223906,2.0,38.556231,2,0.371952,2,4.904919021378988,0.0
56.759201,-4.439667,8.9135981837,1.0,32.170471,1,0.108277,1,4.628320891005817,0.0
54.434349,2.012024,10.2139762996,2.0,30.979403,2,0.182031,2,5.00052096805292,0.0
54.269939,2.584167,10.2743862403,2.0,29.842182,2,0.154387,2,4.980606862377048,0.0
55.017639,4.437958,10.5126159157,2.0,29.833081,2,0.090135,2,4.903275360132617,0.0
55.481144,-3.737122,9.0785872104,1.0,34.542542,1,0.181734,1,4.454629433751221,0.0
56.907730,-1.687653,10.1170717916,2.0,31.081353,2,0.130347,2,4.730855103180791,0.0
54.209942,-2.985291,8.3940425911,1.0,29.201912,1,0.076657,1,4.529038013817417,0.0
56.167477,-4.054260,7.3813733340,1.0,33.263084,1,0.137075,1,4.385088525534564,0.0
56.328209,-1.852356,10.0859760386,2.0,40.842044,2,0.193012,2,4.802291341091831,0.0
56.499599,-0.206177,10.5064081489,2.0,40.835591,2,0.269338,2,4.997013782356132,0.0
54.285480,1.914337,10.1886525750,2.0,29.944543,2,0.126913,2,4.996209242893292,0.0
55.577892,-1.595917,9.1675277018,2.0,31.905315,2,0.057972,2,4.408772679924278,0.0
56.938042,-4.372406,9.4552248041,1.0,30.175185,1,0.232128,1,5.019252711975146,0.0
56.038265,5.162506,10.6260103725,2.0,34.993110,2,0.112479,2,4.829708158736286,0.0
55.662029,-4.419678,8.6292148622,1.0,36.533709,1,0.082909,1,4.31789590892821,0.0
56.723644,2.788635,10.4280289128,2.0,41.432208,2,0.077506,2,5.122723873844199,0.0
54.508980,-1.419373,8.1023040823,1.0,27.728949,1,0.104171,1,3.939617149129298,0.0
54.519833,2.033875,10.2271552094,2.0,31.891960,2,0.154447,2,5.002994894771155,0.0
54.669666,0.835175,10.0865320937,2.0,29.868796,2,0.236637,2,4.884875731595889,0.0
56.361237,-2.877197,8.8646831923,1.0,35.361250,1,0.162716,1,4.4517209031931415,0.0
